Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00026.owl_functional.owl	1957894357	1637904481
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00030.owl_functional.owl	1029266902	545049504
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00031.owl_functional.owl	1008130815	518375005
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00052.owl_functional.owl	1400672317	900532417
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00053.owl_functional.owl	842713400	311410709
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00076.owl_functional.owl	826599956	199712712
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00137.owl_functional.owl	775526287	225906176
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00138.owl_functional.owl	827744499	266482163
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00139.owl_functional.owl	766980734	233107541
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00140.owl_functional.owl	878385497	277339128
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00141.owl_functional.owl	809532726	208043331
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00142.owl_functional.owl	841994452	319419285
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00143.owl_functional.owl	812654711	282353107
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00144.owl_functional.owl	928398690	361567241
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00146.owl_functional.owl	895733858	351537648
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00147.owl_functional.owl	774293066	204628639
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00148.owl_functional.owl	857082693	291395230
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00149.owl_functional.owl	810856077	231948478
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00160928-56f7-4a74-81ea-1adc92544a13_classified.obo_functional.owl	1043635234	384336086
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00177.owl_functional.owl	884784726	270509195
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00304.owl_functional.owl	770928460	213118514
