Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00026.owl_functional.owl	1828663238	35728236698
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00030.owl_functional.owl	988572550	3943725478
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00031.owl_functional.owl	1048234928	3920435696
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00052.owl_functional.owl	1554190004	2481981985
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00053.owl_functional.owl	839700474	-44291255674994
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00076.owl_functional.owl	797453695	196969059
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00137.owl_functional.owl	859257075	216138824
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00138.owl_functional.owl	802353597	294268875
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00139.owl_functional.owl	785181536	204292681
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00140.owl_functional.owl	824904939	427143498
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00141.owl_functional.owl	786900420	181115884
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00142.owl_functional.owl	902993631	520167599
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00143.owl_functional.owl	818332918	431755496
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00144.owl_functional.owl	971115418	596982845
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00146.owl_functional.owl	887995177	484710209
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00147.owl_functional.owl	757346758	176777935
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00148.owl_functional.owl	835067033	319823852
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00149.owl_functional.owl	808736011	226196965
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00160928-56f7-4a74-81ea-1adc92544a13_classified.obo_functional.owl	983984257	831574695
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00177.owl_functional.owl	908578214	560398208
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00304.owl_functional.owl	800414183	209472396
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00309.owl_functional.owl	789433494	186846842
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0031e842-675f-4d7f-bc0c-0483801ad743_umls.owl_functional.owl	812255107	-44314505361675
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00322.owl_functional.owl	895500315	-44315573718938
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00372.owl_functional.owl	895096969	434397830
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00376.owl_functional.owl	882841705	482224821
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00380.owl_functional.owl	984744644	1048668402
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00381.owl_functional.owl	1058994088	1066310380
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00388.owl_functional.owl	793619504	229674145
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00392.owl_functional.owl	906286894	534469022
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00396.owl_functional.owl	845432264	430312264
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00399.owl_functional.owl	828028342	397995314
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00401.owl_functional.owl	884061024	404325173
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00417.owl_functional.owl	842869411	290204524
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00500.owl_functional.owl	908632427	833054774
