Ontology,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
00030.owl_RDFXML.owl,7756,4595,2748,413,0,0,ALEH,3161,3480,699,0,363,64,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4179,416
00031.owl_RDFXML.owl,7783,4621,2749,413,0,0,ALEH+,3162,3480,699,0,363,64,416,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4179,442
00052.owl_RDFXML.owl,48527,28998,19528,1,0,0,ALE+,19529,28997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28997,1
00053.owl_RDFXML.owl,1597,1124,95,332,46,0,ALH(D),473,90,0,0,0,0,324,0,0,0,332,332,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,800,324
00076.owl_RDFXML.owl,368,183,185,0,0,0,AL,185,180,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0
00137.owl_RDFXML.owl,405,200,146,18,0,41,ALH,205,121,0,0,0,0,2,0,0,0,17,18,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,156,2
00138.owl_RDFXML.owl,944,512,222,94,0,116,ALH,432,192,0,0,0,0,24,0,0,0,84,85,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,127,361,24
00139.owl_RDFXML.owl,402,203,116,29,0,54,ALH,199,90,0,0,0,0,4,0,0,0,24,26,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,59,140,4
00140.owl_RDFXML.owl,1928,1090,340,48,0,450,ALH,838,409,0,0,0,0,5,0,0,0,47,50,0,0,0,0,0,0,167,412,0,0,0,0,0,0,0,0,579,506,5
00141.owl_RDFXML.owl,239,118,115,3,0,3,AL,121,110,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,114,0
00142.owl_RDFXML.owl,2509,1375,434,94,0,606,ALH,1134,421,0,0,0,0,12,0,0,0,85,86,0,0,0,0,0,0,394,377,0,0,0,0,0,0,0,0,771,592,12
00143.owl_RDFXML.owl,2083,1252,82,68,0,681,ALH,831,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,944,126,0,0,0,0,0,0,0,0,1070,167,15
00144.owl_RDFXML.owl,5271,2750,1833,202,0,486,ALH,2521,1769,0,0,0,0,92,0,0,0,151,151,0,0,0,0,0,0,550,37,0,0,0,0,0,0,0,0,587,2071,92
00146.owl_RDFXML.owl,2974,1779,630,236,0,329,ALH,1195,696,0,0,0,0,87,0,0,0,215,213,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,568,1124,87
00147.owl_RDFXML.owl,231,113,9,1,0,108,AL,118,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,110,3,0
00148.owl_RDFXML.owl,1486,796,443,92,0,155,ALH,690,452,0,0,0,0,20,0,0,0,79,76,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,169,607,20
00149.owl_RDFXML.owl,557,301,185,9,0,62,AL,256,195,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,88,213,0
00160928-56f7-4a74-81ea-1adc92544a13_classified.obo_RDFXML.owl,10813,7129,3679,5,0,0,ALE+,3684,7128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7128,1
00177.owl_RDFXML.owl,3513,1740,382,7,0,1384,AL,1773,345,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,1384,356,0
00304.owl_RDFXML.owl,512,256,41,1,0,214,AL,256,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,219,37,0
00309.owl_RDFXML.owl,391,209,71,4,0,107,AL,182,75,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,132,77,0
0031e842-675f-4d7f-bc0c-0483801ad743_umls.owl_RDFXML.owl,278,138,135,0,5,0,AL(D),140,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,138,0
00322.owl_RDFXML.owl,4058,2537,411,344,20,746,ALH(D),1521,659,0,0,0,0,318,0,0,0,341,339,0,0,0,0,0,20,686,174,0,0,0,0,0,0,0,0,860,1359,318
00372.owl_RDFXML.owl,1391,545,814,32,0,0,ALE,846,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0
00376.owl_RDFXML.owl,1804,661,1111,32,0,0,ALE,1143,2,659,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0
00380.owl_RDFXML.owl,7311,3046,4238,27,0,0,ALE,4265,0,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,0
00381.owl_RDFXML.owl,7441,3088,4327,26,0,0,ALE,4353,0,3088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3088,0
00388.owl_RDFXML.owl,297,106,183,8,0,0,ALE,191,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
00392.owl_RDFXML.owl,1772,607,1153,12,0,0,ALE,1165,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0
00396.owl_RDFXML.owl,1545,583,938,24,0,0,ALE,962,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0
00399.owl_RDFXML.owl,1280,501,750,29,0,0,ALE,779,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
00401.owl_RDFXML.owl,1117,405,695,17,0,0,ALE,712,3,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0
