Ontology,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
00143.owl_functional.owl,1402,1252,82,68,0,681,ALH,150,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,944,126,0,0,0,0,0,0,0,0,1070,167,15
00143.owl_functional.owl_1_23_1001.owl,1996,1183,82,68,0,663,ALH,813,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,881,120,0,0,0,0,0,0,0,0,1001,167,15
00143.owl_functional.owl_1_23_1024.owl,2027,1206,82,68,0,671,ALH,821,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,901,123,0,0,0,0,0,0,0,0,1024,167,15
00143.owl_functional.owl_1_23_1047.owl,2054,1229,82,68,0,675,ALH,825,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,922,125,0,0,0,0,0,0,0,0,1047,167,15
00143.owl_functional.owl_1_23_840.owl,1776,1022,82,68,0,604,ALH,754,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,737,103,0,0,0,0,0,0,0,0,840,167,15
00143.owl_functional.owl_1_23_863.owl,1808,1045,82,68,0,613,ALH,763,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,759,104,0,0,0,0,0,0,0,0,863,167,15
00143.owl_functional.owl_1_23_886.owl,1837,1068,82,68,0,619,ALH,769,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,779,107,0,0,0,0,0,0,0,0,886,167,15
00143.owl_functional.owl_1_23_909.owl,1870,1091,82,68,0,629,ALH,779,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,800,109,0,0,0,0,0,0,0,0,909,167,15
00143.owl_functional.owl_1_23_932.owl,1903,1114,82,68,0,639,ALH,789,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,820,112,0,0,0,0,0,0,0,0,932,167,15
00143.owl_functional.owl_1_23_955.owl,1936,1137,82,68,0,649,ALH,799,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,841,114,0,0,0,0,0,0,0,0,955,167,15
