Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
approximated_a8f6019c-f34e-4418-af12-f0f464881e4c_VAST2009all.owl_functional.owl,1684746958,269731830,1954478788
approximated_cd75b3f9-a5f7-4436-bf9e-c73dea998d92_onto.rdf_functional.owl,28276104,30346822,58622926
19c0e590-e643-49d7-b21f-2fc584b1ab11_t_annotate.obo_functional.owl,29646235,25167432,54813667
approximated_0e041011-1e56-459a-a749-5038f476ca3e_fearlus.owl_functional.owl,27023790,19466579,46490369
05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl,2285006384,4746837753,7031844137
approximated_a0f1fe03-9384-41b8-a338-81b935691ca7_dProtected.owl_functional.owl,212806185,405780333,618586518
aaff4dda-3125-4140-89fe-74647cbbba58_stdview.rdf_functional.owl,22127393,26804530,48931923
approximated_36bf65ea-821a-4868-aaaa-ba268d25b06c_Bollard.ttl_functional.owl,27144059,10658152,37802211
approximated_25026944-4e55-4055-9c7d-b733fd0752e8_Sight_glass.rdf_functional.owl,19212780,10240703,29453483
mat.minimal-anatomical-terminology.2.owl.xml_functional.owl,30762155,48439105,79201260
approximated_00014.owl_functional.owl,38141651,42558527,80700178
9b10aa7f-5d37-4a23-9dc8-c0e74b59d728_Film.owl_functional.owl,27771059,5362636,33133695
c4522b4a-8b40-45cd-a28e-130ae6f77616_loggerhead.obo_functional.owl,20211946,21476738,41688684
266078d7-4ebe-482d-98a2-090b4d640520_EbGdrcN5Y29ycA_functional.owl,17590790,7387685,24978475
e24d6190-e9dd-4ffe-bb50-e13016b382d9_Company.owl_functional.owl,17303003,1824690,19127693
approximated_74d155eb-2fac-447f-bc9d-a9a75b00a009_cery_store.ttl_functional.owl,18912941,8038096,26951037
approximated_bspo.spatial-ontology.20.owl.xml_functional.owl,24415957,27473911,51889868
approximated_23fee2e3-9ffc-4fce-86fd-342eeba74013_John_Dory.rdf_functional.owl,10113893,7702870,17816763
